Date,Optimized Portfolio Growth
2022-12-30,77.82559029616787
2022-12-31,78.5390492189011
2023-01-01,78.49795225248491
2023-01-02,79.19043651703468
2023-01-03,78.85330010542384
2023-01-04,82.42189532976539
2023-01-05,81.0665613781755
2023-01-06,81.88352914372
2023-01-07,82.17714403707849
2023-01-08,85.37198163577884
2023-01-09,86.52613509687555
2023-01-10,87.77579296473797
2023-01-11,89.63925838524837
2023-01-12,90.99309928764396
2023-01-13,93.87654929880777
2023-01-14,98.47832890908131
2023-01-15,97.32018772710707
2023-01-16,96.11579929490529
2023-01-17,96.45659121760505
2023-01-18,91.83026348761153
2023-01-19,94.18554839027023
2023-01-20,98.5832102784619
2023-01-21,97.28445325571198
2023-01-22,99.49833553252361
2023-01-23,100.22759022579422
2023-01-24,96.8278129969395
2023-01-25,100.0106062639756
2023-01-26,99.94855132046847
2023-01-27,101.23988843820385
2023-01-28,100.48132532035417
2023-01-29,103.62330954929081
2023-01-30,99.74662864387203
2023-01-31,102.28539578947705
2023-02-01,104.23574287843896
2023-02-02,104.28402833021195
2023-02-03,106.94475811709951
2023-02-04,106.76665782570278
2023-02-05,104.84915056594463
2023-02-06,103.13419452766644
2023-02-07,106.95283777392517
2023-02-08,105.48769716180242
2023-02-09,98.26098690483028
2023-02-10,98.23723564847863
2023-02-11,99.93564287088543
2023-02-12,99.62678898036532
2023-02-13,96.35529450666505
2023-02-14,97.64090456187198
2023-02-15,104.46619148656715
2023-02-16,100.35997217022228
2023-02-17,107.33775684704561
2023-02-18,108.63557798558732
2023-02-19,108.40731319191795
2023-02-20,109.67882121099973
2023-02-21,106.9558350654862
2023-02-22,107.22317570526053
2023-02-23,106.50146290788643
2023-02-24,102.45869190925677
2023-02-25,102.1958119488981
2023-02-26,104.34212562662319
2023-02-27,102.93896781889667
2023-02-28,101.54080553450584
2023-03-01,103.7438949450826
2023-03-02,101.9854287810469
2023-03-03,97.82264486575042
2023-03-04,96.59972932957416
2023-03-05,97.04140385235509
2023-03-06,96.7336447228299
2023-03-07,96.53189540512248
2023-03-08,94.56984684788692
2023-03-09,89.70553002679117
2023-03-10,89.46703484488415
2023-03-11,89.54304781038903
2023-03-12,95.00916495536987
2023-03-13,100.37740736078655
2023-03-14,101.65731268916466
2023-03-15,97.82698989999028
2023-03-16,102.87676124270887
2023-03-17,107.55000144609116
2023-03-18,103.97254735501583
2023-03-19,106.30650563426931
2023-03-20,103.8456539984681
2023-03-21,106.77881126835734
2023-03-22,101.93844346456359
2023-03-23,106.11709596812274
2023-03-24,102.65331889744941
2023-03-25,102.12585660373881
2023-03-26,104.1478894666683
2023-03-27,99.4060010196096
2023-03-28,100.55007770706524
2023-03-29,102.16065682610534
2023-03-30,101.88411551653209
2023-03-31,103.56615628726375
2023-04-01,104.66362560121514
2023-04-02,102.61524150852055
2023-04-03,105.03154027666633
2023-04-04,105.67996328518197
2023-04-05,105.86659809010368
2023-04-06,103.94574422513216
2023-04-07,103.52048008807952
2023-04-08,103.00729702702145
2023-04-09,103.95888315122438
2023-04-10,106.18713855565355
2023-04-11,106.58395944242294
2023-04-12,105.2060362610366
2023-04-13,107.69179555193759
2023-04-14,109.62049204197845
2023-04-15,111.01098736040022
2023-04-16,114.32318422063206
2023-04-17,112.68142125899763
2023-04-18,114.89118543426402
2023-04-19,107.61472606302416
2023-04-20,105.25925043920455
2023-04-21,103.61867539125484
2023-04-22,106.17164289199222
2023-04-23,105.42408784723092
2023-04-24,105.41209614644603
2023-04-25,107.3586356315759
2023-04-26,105.01169956024607
2023-04-27,106.0504153853529
2023-04-28,104.98426484171337
2023-04-29,105.39762203703881
2023-04-30,107.19790021352404
2023-05-01,105.12111765958218
2023-05-02,104.21896873170222
2023-05-03,105.5192942970047
2023-05-04,104.51284458417477
2023-05-05,106.16366496822585
2023-05-06,103.73782357699962
2023-05-07,103.23609390619772
2023-05-08,99.4914963650858
2023-05-09,99.33636891638378
2023-05-10,99.9988569205292
2023-05-11,97.45957888563649
2023-05-12,98.55823147630701
2023-05-13,98.54504569495766
2023-05-14,98.97682905248404
2023-05-15,99.55756429892048
2023-05-16,99.355337716205
2023-05-17,100.74941491941794
2023-05-18,98.9537273456546
2023-05-19,98.91758591766676
2023-05-20,99.54182807421975
2023-05-21,98.41639027563748
2023-05-22,99.71726843973794
2023-05-23,100.60001799284551
2023-05-24,98.17102375895305
2023-05-25,97.79495483945036
2023-05-26,98.23646151181106
2023-05-27,99.18302588257687
2023-05-28,101.29816802143117
2023-05-29,100.58729499146371
2023-05-30,100.68562915878674
2023-05-31,99.04893510711479
2023-06-01,98.32995656999051
2023-06-02,100.64746692026137
2023-06-03,100.16385004311299
2023-06-04,99.58941466370197
2023-06-05,91.49122034408036
2023-06-06,93.7818728532367
2023-06-07,87.86939768832106
2023-06-08,88.69312855027886
2023-06-09,88.0235140287241
2023-06-10,79.91272275193798
2023-06-11,79.00974909751535
2023-06-12,78.43601313070099
2023-06-13,81.41607101489029
2023-06-14,79.65544687400467
2023-06-15,79.93027332050264
2023-06-16,80.59948007808757
2023-06-17,81.68634702001106
2023-06-18,81.11004990408004
2023-06-19,80.82853326338254
2023-06-20,82.3821877546021
2023-06-21,84.30007527598356
2023-06-22,82.68545467773292
2023-06-23,85.21689852372887
2023-06-24,83.34358003700059
2023-06-25,84.21612707613312
2023-06-26,82.95197205119794
2023-06-27,83.78947710466262
2023-06-28,80.7243493613968
2023-06-29,81.70294736409222
2023-06-30,84.81524322400469
2023-07-01,87.3116885727518
2023-07-02,86.89083523241275
2023-07-03,88.28223340438001
2023-07-04,87.17246249572769
2023-07-05,85.80724078164471
2023-07-06,83.33009397919557
2023-07-07,84.43191178744974
2023-07-08,84.74438757700173
2023-07-09,83.93767597813844
2023-07-10,86.16809395125979
